onset_s,offset_s,pitch,strength_0_1,dur_ms
125.607961,125.747280,86,0.417,139.3
125.735670,126.025920,74,0.378,290.2
126.258119,127.432011,77,0.693,1173.9
127.443621,130.405449,76,0.866,2961.8
129.314111,129.453431,74,0.622,139.3
130.242909,130.660868,72,0.803,418.0
130.788578,131.032388,74,0.465,243.8
131.405191,131.556121,86,0.307,150.9
131.416801,131.869590,74,0.567,452.8
131.904420,132.055350,72,0.535,150.9
132.264329,132.937708,74,0.417,673.4
133.159581,133.554321,74,0.433,394.7
133.182801,134.134820,77,0.756,952.0
133.728470,134.053550,74,0.457,325.1
134.134820,136.550979,76,0.772,2416.2
136.759958,136.945718,76,0.441,185.8
137.376571,137.713260,72,0.551,336.7
137.376571,137.515891,84,0.472,139.3
137.840970,138.003510,74,0.402,162.5
138.247319,138.943918,74,0.677,696.6
139.119351,140.048150,81,0.661,928.8
139.595361,141.732880,74,0.724,2137.5
140.187469,140.500939,81,0.378,313.5
140.802798,141.314921,82,0.764,512.1
141.314921,142.139229,81,0.709,824.3
142.150839,142.290159,82,0.307,139.3
142.232109,142.545579,69,0.724,313.5
142.545579,142.917098,70,0.339,371.5
142.951928,143.870400,69,0.795,918.5
143.533711,143.823960,81,0.417,290.2
144.938518,145.311321,81,0.370,372.8
145.044292,145.891820,74,0.772,847.5
145.996310,147.646210,74,0.819,1649.9
146.007920,147.216641,81,0.504,1208.7
146.042750,146.425879,93,0.441,383.1
147.355961,147.704260,81,0.315,348.3
147.715870,148.261539,82,0.780,545.7
147.866800,149.029082,74,0.433,1162.3
148.261539,149.005862,81,0.693,744.3
149.121961,149.574751,69,0.724,452.8
149.806950,151.689050,69,0.811,1882.1
151.305921,151.538121,81,0.307,232.2
151.793540,152.118620,69,0.370,325.1
152.641068,153.048702,69,0.409,407.6
152.873268,153.002262,81,0.268,129.0
155.615790,156.474929,62,0.850,859.1
156.521369,157.196031,69,0.598,674.7
156.998662,158.055170,62,0.787,1056.5
157.323741,157.463061,64,0.465,139.3
157.370181,157.846190,69,0.362,476.0
158.252539,158.716938,70,0.709,464.4
158.391859,158.612449,82,0.315,220.6
158.716938,162.272159,69,0.764,3555.2
159.217451,159.728290,81,0.331,510.8
160.610649,160.913792,81,0.362,303.1
162.620459,163.213851,62,0.874,593.4
163.260291,163.411221,67,0.654,150.9
163.399611,164.270359,69,0.756,870.7
164.049770,164.968242,62,0.764,918.5
164.467729,164.898582,69,0.378,430.9
165.212051,166.187289,70,0.764,975.2
165.432641,165.571961,82,0.307,139.3
166.187289,168.871762,69,0.740,2684.5
169.591580,169.754120,72,0.606,162.5
169.788950,170.462329,74,0.591,673.4
169.788950,170.520379,86,0.417,731.4
170.497159,171.299531,69,0.630,802.4
170.717748,171.264701,81,0.457,547.0
171.450461,172.100620,84,0.425,650.2
171.462071,172.123839,72,0.583,661.8
172.170279,172.808828,82,0.362,638.5
172.181889,172.868162,70,0.598,686.3
172.856552,175.319151,81,0.370,2462.6
172.868162,175.458471,69,0.661,2590.3
176.689128,178.327419,86,0.551,1638.3
176.700738,178.362249,74,0.591,1661.5
178.385469,179.803170,76,0.740,1417.7
179.803170,179.954100,75,0.622,150.9
179.954100,183.091361,74,0.669,3137.3
180.290789,181.871030,86,0.394,1580.2
182.323819,182.532799,86,0.291,209.0
182.683728,182.998482,86,0.433,314.8
184.113039,184.263969,69,0.567,150.9
184.380069,184.530999,72,0.528,150.9
184.693538,185.124391,74,0.693,430.9
185.391421,185.855820,86,0.496,464.4
185.403031,185.879040,74,0.591,476.0
186.529199,186.714958,74,0.598,185.8
186.971662,187.110981,75,0.583,139.3
187.145811,188.109439,77,0.669,963.6
