onset_s,offset_s,pitch,strength_0_1,dur_ms
69.355217,69.611921,69,0.677,256.7
69.611921,69.774460,69,0.677,162.5
69.774460,69.925390,69,0.709,150.9
69.925390,70.064710,69,0.780,139.3
70.064710,70.238859,69,0.787,174.1
70.238859,70.482669,69,0.551,243.8
70.482669,70.772918,69,0.630,290.2
70.772918,71.132828,69,0.449,359.9
71.388247,71.610121,69,0.339,221.9
71.935200,73.107808,74,0.780,1172.6
72.132570,72.376379,74,0.677,243.8
72.376379,72.550529,74,0.622,174.1
72.550529,72.689849,74,0.780,139.3
72.689849,73.107808,74,0.449,418.0
73.049758,74.676439,81,0.528,1626.7
73.479327,75.525251,74,0.677,2045.9
73.910180,74.676439,81,0.433,766.3
74.003060,74.711268,74,0.677,708.2
74.676439,75.210498,82,0.772,534.1
74.711268,75.187278,74,0.378,476.0
75.036348,75.210498,82,0.732,174.1
75.187278,75.525251,74,0.441,338.0
75.210498,76.570149,81,0.630,1359.7
76.059310,77.162258,69,0.756,1102.9
76.279899,76.732688,69,0.693,452.8
76.291509,76.570149,81,0.331,278.6
76.732688,76.941668,69,0.748,209.0
76.941668,77.162258,69,0.693,220.6
77.197088,77.406067,70,0.567,209.0
77.417677,78.719278,69,0.740,1301.6
77.778870,77.953020,69,0.740,174.1
77.953020,78.138780,69,0.646,185.8
78.138780,78.336149,69,0.394,197.4
78.336149,78.719278,69,0.661,383.1
78.846988,79.021138,69,0.386,174.1
79.067578,79.381047,69,0.299,313.5
80.369179,80.531719,69,0.386,162.5
82.820168,82.982708,62,0.630,162.5
83.145248,83.342617,62,0.331,197.4
83.145248,83.994060,69,0.512,848.8
83.423887,83.994060,69,0.512,570.2
83.773470,84.040500,62,0.669,267.0
84.040500,85.038958,60,0.661,998.5
84.365579,84.783538,60,0.661,418.0
84.783538,85.038958,60,0.606,255.4
84.934468,88.570959,62,0.795,3636.5
85.294377,85.434981,62,0.795,140.6
85.434981,85.725230,62,0.685,290.2
85.725230,85.922600,62,0.701,197.4
85.922600,86.096750,62,0.732,174.1
86.096750,86.236069,62,0.717,139.3
86.236069,86.526319,62,0.535,290.2
86.526319,86.735298,62,0.646,209.0
86.735298,86.944278,62,0.614,209.0
86.944278,87.211307,62,0.646,267.0
87.211307,87.746650,62,0.646,535.3
87.746650,87.909190,62,0.551,162.5
87.909190,88.083340,62,0.677,174.1
88.083340,88.361979,62,0.622,278.6
88.361979,88.570959,62,0.520,209.0
89.779680,89.919000,62,0.512,139.3
90.081540,90.940678,69,0.740,859.1
90.267299,90.441449,69,0.740,174.1
90.441449,90.940678,69,0.457,499.2
90.836188,90.987118,62,0.661,150.9
91.172878,91.312197,69,0.496,139.3
91.347027,92.010080,60,0.591,663.1
91.743050,92.010080,60,0.528,267.0
92.242279,92.776338,62,0.646,534.1
92.253889,92.671849,74,0.378,418.0
92.927268,93.101418,74,0.339,174.1
93.031758,94.983518,57,0.835,1951.8
93.171078,93.392951,62,0.409,221.9
93.368447,93.520661,57,0.835,152.2
93.520661,93.659980,57,0.803,139.3
93.659980,93.810910,57,0.772,150.9
93.810910,93.985060,57,0.780,174.1
93.938620,94.077940,74,0.417,139.3
93.985060,94.356579,57,0.598,371.5
94.101160,94.461069,62,0.449,359.9
94.356579,94.519119,57,0.638,162.5
94.519119,94.786148,57,0.472,267.0
94.693268,94.925468,74,0.331,232.2
94.786148,94.983518,57,0.425,197.4
94.902248,95.122838,62,0.378,220.6
95.122838,95.472421,57,0.315,349.6
95.774280,95.948430,69,0.331,174.1
95.797500,96.087750,60,0.677,290.2
96.076140,96.586979,62,0.661,510.8
96.250289,96.586979,62,0.339,336.7
96.517319,96.970108,65,0.764,452.8
96.807568,96.970108,65,0.693,162.5
97.086208,97.260357,69,0.685,174.1
97.424181,97.575111,69,0.622,150.9
97.865360,98.039510,65,0.630,174.1
98.376199,98.561959,72,0.646,185.8
98.678059,98.863818,70,0.646,185.8
98.863818,99.107628,69,0.709,243.8
99.107628,99.293387,70,0.630,185.8
99.293387,101.931420,69,0.646,2638.0
99.293387,101.664390,81,0.488,2371.0
102.024300,102.535139,69,0.299,510.8
102.035910,102.233279,81,0.252,197.4
102.372599,102.546749,81,0.362,174.1
103.511661,104.022500,62,0.614,510.8
103.674200,104.022500,62,0.488,348.3
104.138600,104.498509,69,0.488,359.9
104.730708,105.206717,69,0.378,476.0
104.800368,104.986128,62,0.661,185.8
104.962908,105.765280,60,0.693,802.4
105.241547,105.486641,60,0.567,245.1
105.486641,105.765280,60,0.339,278.6
105.800110,105.962650,62,0.591,162.5
106.113580,106.310949,62,0.354,197.4
106.461879,106.775348,62,0.496,313.5
108.866428,109.226337,81,0.339,359.9
109.028968,109.226337,81,0.307,197.4
109.808120,110.121590,69,0.433,313.5
110.678868,110.818188,69,0.346,139.3
110.876238,111.131658,65,0.551,255.4
111.376751,111.980470,65,0.323,603.7
111.794710,111.980470,65,0.299,185.8
112.293939,113.328511,67,0.591,1034.6
112.595799,112.839608,67,0.591,243.8
112.839608,113.083418,67,0.496,243.8
113.083418,113.328511,67,0.323,245.1
113.164688,113.711640,69,0.748,547.0
114.373409,115.756280,65,0.764,1382.9
114.605609,114.861028,65,0.441,255.4
114.861028,115.116448,65,0.488,255.4
115.116448,115.245441,65,0.764,129.0
115.245441,115.756280,65,0.551,510.8
115.744670,116.801178,67,0.661,1056.5
115.942040,116.174239,67,0.646,232.2
