onset_s,offset_s,pitch,strength_0_1,dur_ms
125.625000,125.770000,86,0.417,145.0
125.770000,126.060000,74,0.378,290.0
126.208333,127.395000,77,0.693,1186.7
127.395000,130.400000,76,0.866,3005.0
129.256667,129.393333,74,0.622,136.7
130.255000,130.686667,72,0.803,431.7
130.830000,130.973333,74,0.465,143.3
131.403333,131.546667,86,0.307,143.3
131.403333,131.833333,74,0.567,430.0
131.833333,132.120000,72,0.535,286.7
132.256667,132.940000,74,0.417,683.3
133.220000,133.500000,74,0.433,280.0
133.220000,134.070000,77,0.756,850.0
133.780000,134.070000,74,0.457,290.0
134.070000,136.518333,76,0.772,2448.3
136.795000,136.933333,76,0.441,138.3
137.360000,137.660000,72,0.551,300.0
137.360000,137.510000,84,0.472,150.0
137.810000,137.960000,74,0.402,150.0
138.246667,138.930000,74,0.677,683.3
139.078333,140.103333,81,0.661,1025.0
139.523333,141.700000,74,0.724,2176.7
140.245000,140.528333,81,0.378,283.3
140.818333,141.263333,82,0.764,445.0
141.263333,142.120000,81,0.709,856.7
142.120000,142.260000,82,0.307,140.0
142.260000,142.538333,69,0.724,278.3
142.538333,142.953333,70,0.339,415.0
142.953333,143.836667,69,0.795,883.3
143.533333,143.836667,81,0.417,303.3
144.950000,145.250000,81,0.370,300.0
145.100000,145.850000,74,0.772,750.0
145.993333,147.600000,74,0.819,1606.7
145.993333,147.155000,81,0.504,1161.7
145.993333,146.423333,93,0.441,430.0
147.303333,147.750000,81,0.315,446.7
147.750000,148.200000,82,0.780,450.0
147.900000,149.060000,74,0.433,1160.0
148.200000,149.060000,81,0.693,860.0
149.060000,149.630000,69,0.724,570.0
149.775000,151.700000,69,0.811,1925.0
151.280000,151.560000,81,0.307,280.0
151.840000,152.121667,69,0.370,281.7
152.688333,153.120000,69,0.409,431.7
152.830000,152.975000,81,0.268,145.0
155.626667,156.463333,62,0.850,836.7
156.463333,157.230000,69,0.598,766.7
156.923333,158.050000,62,0.787,1126.7
157.366667,157.503333,64,0.465,136.7
157.366667,157.913333,69,0.362,546.7
158.203333,158.663333,70,0.709,460.0
158.356667,158.663333,82,0.315,306.7
158.663333,162.270000,69,0.764,3606.7
159.273333,159.728333,81,0.331,455.0
160.646667,160.945000,81,0.362,298.3
162.570000,163.270000,62,0.874,700.0
163.270000,163.410000,67,0.654,140.0
163.410000,164.330000,69,0.756,920.0
164.023333,165.030000,62,0.764,1006.7
164.470000,164.890000,69,0.378,420.0
165.170000,166.246667,70,0.764,1076.7
165.480000,165.635000,82,0.307,155.0
166.246667,168.856667,69,0.740,2610.0
169.540000,169.695000,72,0.606,155.0
169.850000,170.470000,74,0.591,620.0
169.850000,170.470000,86,0.417,620.0
170.470000,171.310000,69,0.630,840.0
170.750000,171.310000,81,0.457,560.0
171.455000,172.035000,84,0.425,580.0
171.455000,172.180000,72,0.583,725.0
172.180000,172.800000,82,0.362,620.0
172.180000,172.800000,70,0.598,620.0
172.800000,175.265000,81,0.370,2465.0
172.800000,175.403333,69,0.661,2603.3
176.620000,178.321667,86,0.551,1701.7
176.760000,178.321667,74,0.591,1561.7
178.321667,179.788333,76,0.740,1466.7
179.788333,179.930000,75,0.622,141.7
179.930000,183.045000,74,0.669,3115.0
180.355000,181.816667,86,0.394,1461.7
182.286667,182.600000,86,0.291,313.3
182.748333,183.045000,86,0.433,296.7
184.181667,184.320000,69,0.567,138.3
184.320000,184.468333,72,0.528,148.3
184.765000,185.061667,74,0.693,296.7
185.353333,185.926667,86,0.496,573.3
185.353333,185.926667,74,0.591,573.3
186.510000,186.656667,74,0.598,146.7
186.950000,187.096667,75,0.583,146.7
187.096667,188.133333,77,0.669,1036.7
188.133333,190.136667,76,0.850,2003.3
190.278333,190.420000,74,0.583,141.7
190.568333,191.013333,76,0.457,445.0
191.161667,191.446667,72,0.693,285.0
191.720000,191.993333,74,0.606,273.3
192.426667,192.871667,74,0.677,445.0
192.426667,192.723333,86,0.354,296.7
193.460000,193.753333,74,0.449,293.3
194.046667,195.165000,77,0.740,1118.3
195.165000,195.421667,76,0.638,256.7
195.681667,197.270000,76,0.772,1588.3
198.250000,198.630000,72,0.717,380.0
198.763333,199.030000,74,0.488,266.7
199.296667,199.800000,62,0.661,503.3
199.923333,200.420000,69,0.677,496.7
200.170000,200.295000,81,0.362,125.0
200.545000,201.553333,62,0.654,1008.3
200.670000,201.553333,74,0.551,883.3
201.680000,202.230000,70,0.677,550.0
201.680000,201.900000,82,0.354,220.0
202.230000,202.690000,69,0.583,460.0
202.230000,202.573333,81,0.315,343.3
202.806667,202.923333,67,0.362,116.7
203.155000,204.288333,69,0.638,1133.3
204.400000,204.740000,81,0.370,340.0
