onset_s,offset_s,pitch,strength_0_1,dur_ms
65.333333,65.766667,34,0.551,433.3
65.548333,65.840000,74,0.480,291.7
65.986667,66.930000,34,0.661,943.3
66.060000,66.346667,62,0.378,286.7
66.060000,66.490000,81,0.425,430.0
66.131667,66.710000,53,0.394,578.3
66.563333,66.930000,62,0.472,366.7
66.563333,67.580000,74,0.520,1016.7
66.930000,68.588333,31,0.654,1658.3
66.930000,67.506667,50,0.362,576.7
67.073333,67.288333,62,0.370,215.0
67.216667,67.433333,55,0.354,216.7
67.726667,68.230000,82,0.433,503.3
68.230000,69.171667,81,0.354,941.7
68.301667,68.588333,62,0.378,286.7
68.445000,68.806667,50,0.386,361.7
68.660000,68.806667,45,0.260,146.7
68.806667,69.171667,26,0.496,365.0
68.880000,70.911667,69,0.638,2031.7
69.243333,69.458333,50,0.339,215.0
69.386667,70.038333,26,0.567,651.7
70.243333,70.456667,26,0.394,213.3
70.456667,70.840000,81,0.370,383.3
70.840000,71.055000,45,0.386,215.0
70.911667,71.416667,26,0.520,505.0
71.416667,71.781667,81,0.339,365.0
71.416667,71.853333,45,0.346,436.7
71.925000,72.068333,62,0.472,143.3
71.925000,72.790000,74,0.583,865.0
72.355000,72.716667,34,0.661,361.7
72.570000,73.083333,46,0.409,513.3
72.863333,73.880000,34,0.685,1016.7
72.936667,73.376667,81,0.417,440.0
73.010000,73.593333,53,0.346,583.3
73.450000,74.606667,74,0.512,1156.7
73.521667,73.665000,62,0.409,143.3
73.880000,75.548333,31,0.654,1668.3
74.026667,74.606667,50,0.386,580.0
74.100000,74.463333,62,0.291,363.3
74.678333,75.190000,82,0.457,511.7
74.896667,75.116667,70,0.299,220.0
75.190000,75.548333,50,0.457,358.3
75.190000,75.405000,62,0.331,215.0
75.190000,75.476667,69,0.346,286.7
75.190000,76.561667,81,0.417,1371.7
75.766667,76.131667,26,0.520,365.0
76.060000,76.490000,69,0.520,430.0
76.346667,76.993333,26,0.559,646.7
76.705000,77.140000,69,0.535,435.0
77.213333,77.431667,26,0.402,218.3
77.360000,77.503333,81,0.299,143.3
77.431667,77.646667,69,0.551,215.0
77.718333,78.301667,26,0.472,583.3
77.790000,78.010000,45,0.291,220.0
77.790000,78.083333,69,0.535,293.3
78.301667,78.660000,69,0.449,358.3
78.516667,78.733333,26,0.425,216.7
79.173333,79.393333,38,0.283,220.0
79.616667,79.693333,38,0.378,76.7
79.616667,81.638333,26,0.480,2021.7
81.780000,82.280000,38,0.417,500.0
82.723333,82.938333,62,0.299,215.0
82.723333,83.376667,38,0.441,653.3
82.866667,85.261667,26,0.614,2395.0
83.450000,83.593333,69,0.457,143.3
83.521667,83.736667,38,0.409,215.0
