onset_s,offset_s,pitch,strength_0_1,dur_ms
44.320309,44.529289,50,0.472,209.0
44.413189,44.633779,26,0.370,220.6
44.471239,44.656999,38,0.402,185.8
44.529289,44.738268,50,0.441,209.0
44.529289,44.900808,69,0.606,371.5
44.715049,44.889198,45,0.252,174.1
44.738268,44.958858,38,0.402,220.6
44.738268,45.191058,50,0.441,452.8
44.900808,45.191058,69,0.646,290.2
45.191058,45.341987,38,0.276,150.9
45.191058,45.400037,50,0.520,209.0
45.191058,45.388427,69,0.606,197.4
45.388427,45.620627,69,0.669,232.2
45.400037,45.772840,50,0.394,372.8
45.620627,45.772840,69,0.575,152.2
45.772840,45.912160,26,0.370,139.3
45.772840,45.958600,69,0.575,185.8
46.063090,46.852568,38,0.472,789.5
46.179190,46.318509,84,0.457,139.3
46.190800,46.353339,72,0.465,162.5
46.272069,46.492659,38,0.386,220.6
46.399779,49.164238,86,0.457,2764.5
46.492659,47.491117,28,0.378,998.5
46.492659,46.678419,38,0.425,185.8
46.492659,46.759688,50,0.354,267.0
46.678419,46.852568,38,0.386,174.1
46.736468,47.747820,74,0.378,1011.4
47.166038,47.444677,50,0.299,278.6
47.270527,47.794260,86,0.409,523.7
47.794260,48.014850,38,0.291,220.6
47.794260,48.142560,86,0.417,348.3
47.875530,48.432809,33,0.402,557.3
47.898750,48.444419,30,0.346,545.7
47.898750,48.072900,74,0.386,174.1
48.142560,48.444419,86,0.331,301.9
48.339929,49.117798,74,0.449,777.9
48.444419,49.164238,86,0.441,719.8
49.908560,50.187200,31,0.409,278.6
50.407789,50.605159,72,0.528,197.4
50.651599,51.057948,74,0.504,406.3
51.475907,52.916828,26,0.512,1440.9
51.499127,51.790660,86,0.346,291.5
51.592007,51.779050,74,0.417,187.0
53.032928,53.404447,34,0.685,371.5
53.207078,53.404447,34,0.622,197.4
53.276737,53.846910,77,0.465,570.2
53.288347,53.800470,53,0.496,512.1
53.450887,53.800470,53,0.496,349.6
53.532157,54.647999,34,0.685,1115.8
53.578597,53.754030,58,0.370,175.4
54.334529,55.182058,76,0.472,847.5
54.531899,55.182058,76,0.472,650.2
54.961468,57.540167,36,0.717,2578.7
55.600017,56.239849,36,0.717,639.8
56.239849,56.669419,36,0.575,429.6
56.251459,56.611369,55,0.331,359.9
56.681029,56.994498,36,0.307,313.5
56.692639,57.075768,55,0.362,383.1
56.994498,57.168648,36,0.591,174.1
57.168648,57.540167,36,0.630,371.5
