time,frequency,confidence
2.450,36.293,0.887067
2.460,36.349,0.902618
2.470,36.471,0.923745
2.480,36.434,0.902925
2.490,36.323,0.894983
2.500,36.432,0.913863
2.510,36.594,0.906500
2.520,36.524,0.920373
2.530,36.446,0.908413
2.540,36.336,0.906448
2.550,36.435,0.925832
2.560,36.492,0.895011
2.570,36.520,0.906040
2.580,36.588,0.958523
2.590,36.597,0.934282
2.600,36.442,0.942430
2.610,36.338,0.937678
2.620,36.371,0.922404
2.630,36.432,0.940248
2.640,36.522,0.939219
2.650,36.512,0.921021
2.660,36.489,0.935813
2.670,36.467,0.934906
2.680,36.435,0.940486
2.690,36.464,0.951361
2.700,36.534,0.941829
2.710,36.562,0.957728
2.720,36.437,0.946658
2.730,36.499,0.945494
2.740,36.560,0.956085
2.750,36.614,0.945970
2.760,36.586,0.937317
2.770,36.579,0.941621
2.780,36.518,0.925895
2.790,36.622,0.949240
2.800,36.511,0.944030
2.810,36.580,0.928960
2.820,36.623,0.957535
2.830,36.470,0.893312
2.840,36.681,0.919209
2.850,36.705,0.948652
2.860,36.600,0.933644
2.870,36.443,0.937303
2.880,36.464,0.947456
2.890,36.617,0.914167
2.900,36.465,0.923067
2.910,36.341,0.925882
2.920,36.272,0.907202
2.930,36.320,0.921837
2.940,36.467,0.925957
2.950,36.507,0.918803
2.960,36.528,0.931898
2.970,36.491,0.877736
2.980,36.400,0.924690
2.990,36.363,0.916190
3.000,36.478,0.894581
3.010,36.535,0.938320
3.020,36.392,0.906719
3.030,36.565,0.914606
3.040,36.505,0.940140
3.050,36.514,0.917442
3.060,36.461,0.906260
3.070,36.403,0.927037
3.080,36.544,0.867957
3.090,36.589,0.931511
3.100,36.448,0.936292
3.110,36.541,0.899583
3.120,36.483,0.929339
3.130,36.472,0.902870
3.140,36.414,0.896145
3.150,36.353,0.931466
3.160,36.236,0.890066
3.170,36.343,0.886115
3.180,36.059,0.843584
3.190,36.232,0.869285
3.200,36.336,0.903518
3.210,36.087,0.834929
3.220,36.459,0.886343
3.230,36.311,0.900956
3.240,36.320,0.891515
3.250,36.532,0.872925
3.260,36.378,0.897389
3.270,36.324,0.879131
3.280,36.419,0.907488
3.290,36.117,0.865085
3.300,36.374,0.875559
3.310,36.470,0.931134
3.320,36.311,0.907653
3.330,36.497,0.907596
3.340,36.444,0.931863
3.350,36.301,0.902849
3.360,36.456,0.923259
3.370,36.329,0.924084
3.380,36.313,0.884948
3.390,36.542,0.928974
3.400,36.407,0.917077
3.410,36.474,0.898539
3.420,36.494,0.907967
3.430,36.458,0.849261
3.440,36.407,0.775006
3.450,36.059,0.519018
3.460,32.680,0.103987
3.470,32.967,0.063243
3.480,54.943,0.029111
3.490,652.536,0.171641
3.500,657.023,0.136869
3.510,653.259,0.108725
3.520,442.480,0.212902
3.530,329.027,0.086271
3.540,327.963,0.135890
3.550,1323.773,0.304248
3.560,42.347,0.139966
3.570,41.862,0.056619
3.580,65.433,0.123876
3.590,65.058,0.093282
3.600,455.401,0.055688
3.610,336.029,0.098458
3.620,331.333,0.331457
3.630,335.159,0.384956
3.640,342.533,0.231124
3.650,349.579,0.328584
3.660,270.099,0.164868
3.670,429.102,0.084969
3.680,410.577,0.336966
3.690,50.266,0.134509
