time,frequency,confidence
2.450,36.872,0.509136
2.460,36.976,0.396804
2.470,37.063,0.459993
2.480,36.658,0.640336
2.490,36.489,0.665880
2.500,36.393,0.804419
2.510,36.966,0.437812
2.520,36.942,0.643423
2.530,36.077,0.599613
2.540,35.933,0.331174
2.550,35.950,0.585881
2.560,36.185,0.613239
2.570,36.495,0.373532
2.580,37.381,0.175116
2.590,36.759,0.589336
2.600,36.720,0.330137
2.610,36.819,0.238954
2.620,184.014,0.040118
2.630,186.705,0.144098
2.640,36.789,0.306281
2.650,36.621,0.254454
2.660,36.597,0.231722
2.670,36.467,0.160977
2.680,36.126,0.397073
2.690,36.355,0.387189
2.700,147.417,0.500504
2.710,146.828,0.521326
2.720,147.232,0.491370
2.730,147.502,0.322881
2.740,146.257,0.279344
2.750,36.879,0.293224
2.760,289.663,0.312595
2.770,263.559,0.220478
2.780,259.625,0.330868
2.790,257.701,0.530682
2.800,256.720,0.459451
2.810,256.345,0.450175
2.820,32.158,0.104619
2.830,253.799,0.421793
2.840,259.420,0.083507
2.850,32.166,0.128740
2.860,32.398,0.100725
2.870,36.121,0.245398
2.880,36.327,0.848644
2.890,36.890,0.146214
2.900,130.353,0.112549
2.910,37.213,0.272665
2.920,36.808,0.112232
2.930,36.495,0.241822
2.940,36.508,0.296931
2.950,36.544,0.565905
2.960,36.531,0.132649
2.970,36.423,0.333266
2.980,258.992,0.152133
2.990,258.994,0.254030
3.000,260.456,0.052075
3.010,32.772,0.063983
3.020,32.546,0.182923
3.030,130.384,0.086992
3.040,129.674,0.099545
3.050,148.534,0.241368
3.060,143.999,0.248634
3.070,141.372,0.384939
3.080,144.857,0.210622
3.090,329.890,0.149496
3.100,330.744,0.060707
3.110,332.453,0.056675
3.120,37.135,0.029078
3.130,58.343,0.033090
3.140,143.731,0.040333
3.150,582.696,0.090057
3.160,586.440,0.084247
3.170,183.465,0.247069
3.180,183.975,0.336365
3.190,184.498,0.171394
3.200,300.364,0.286959
3.210,308.296,0.130722
3.220,312.134,0.101938
3.230,314.082,0.326940
3.240,316.792,0.517040
3.250,318.100,0.363821
3.260,322.903,0.345187
3.270,294.546,0.344582
3.280,286.507,0.424091
3.290,287.736,0.313414
3.300,289.285,0.246540
3.310,299.977,0.152058
3.320,302.614,0.307836
3.330,36.313,0.162727
3.340,36.135,0.148540
3.350,44.923,0.127636
3.360,36.119,0.070243
3.370,36.450,0.132698
3.380,36.931,0.066889
3.390,222.528,0.040590
3.400,36.646,0.102817
3.410,36.278,0.471898
3.420,127.978,0.095598
3.430,126.439,0.090144
3.440,125.678,0.082113
3.450,132.512,0.053542
3.460,43.237,0.104496
3.470,43.271,0.205083
3.480,43.111,0.390027
3.490,43.182,0.230515
3.500,581.096,0.708456
3.510,583.472,0.694038
3.520,584.265,0.727627
3.530,584.139,0.546397
3.540,587.274,0.484817
3.550,587.988,0.559714
3.560,587.478,0.521547
3.570,586.216,0.539269
3.580,588.038,0.342912
3.590,297.334,0.124226
3.600,42.956,0.121684
3.610,333.603,0.127973
3.620,329.869,0.177762
3.630,583.678,0.242269
3.640,581.514,0.439688
3.650,582.391,0.393331
3.660,585.770,0.528909
3.670,587.473,0.714364
3.680,585.818,0.400227
3.690,585.422,0.271326
3.700,43.747,0.254852
3.710,578.591,0.178672
3.720,581.253,0.297905
3.730,583.867,0.675088
3.740,585.126,0.724878
3.750,586.348,0.831436
3.760,584.473,0.735602
3.770,580.873,0.455832
3.780,576.003,0.257406
3.790,43.333,0.320643
3.800,43.328,0.172731
3.810,43.259,0.419042
3.820,43.603,0.330792
3.830,43.646,0.079219
3.840,132.903,0.141640
3.850,586.879,0.321430
3.860,584.075,0.368053
3.870,586.947,0.496002
3.880,587.888,0.279323
3.890,54.421,0.346431
3.900,54.790,0.141183
3.910,55.188,0.125525
3.920,132.996,0.104851
3.930,114.724,0.135194
3.940,116.294,0.084905
3.950,580.155,0.421528
3.960,583.012,0.550845
3.970,584.041,0.759755
3.980,585.647,0.793111
3.990,589.498,0.618025
4.000,589.681,0.748843
4.010,584.382,0.898860
4.020,581.941,0.936721
4.030,581.717,0.931479
4.040,583.296,0.923506
4.050,584.030,0.895130
4.060,584.101,0.834211
4.070,581.985,0.743652
4.080,581.806,0.580338
4.090,576.712,0.208374
4.100,582.509,0.383363
4.110,582.686,0.326034
4.120,582.618,0.400905
4.130,582.657,0.575593
4.140,581.855,0.371047
4.150,584.612,0.425059
4.160,293.339,0.216855
4.170,43.746,0.179855
4.180,32.742,0.179901
4.190,32.624,0.422487
4.200,32.986,0.473964
4.210,32.682,0.369379
4.220,32.952,0.190032
4.230,33.015,0.058404
4.240,159.028,0.035672
4.250,32.518,0.105397
4.260,32.684,0.126776
4.270,32.706,0.171486
4.280,33.113,0.037834
4.290,35.753,0.041148
4.300,185.912,0.096828
4.310,188.155,0.260178
4.320,186.142,0.549624
4.330,185.187,0.430001
4.340,190.302,0.202309
4.350,192.694,0.107362
4.360,287.231,0.099414
4.370,281.783,0.112227
4.380,303.874,0.045716
4.390,152.771,0.152837
